FREN,Hours,DI
FREN 101,5,
FREN 102,5,
FREN 201,4,1
FREN 202,4,1
FREN 221,3,1
FREN 222,4,
FREN 223,4,
FREN 225,3,1
FREN 226,3,1
FREN 300,0,
FREN 301,3,1
FREN 303,V,
FREN 304,3,
FREN 307,3,
FREN 308,3,
FREN 311,3,1
FREN 312,3,1
FREN 313,3,1
FREN 318,3,1
FREN 321,3,
FREN 323,3,1
FREN 324,3,
FREN 332,3,1
FREN 336,3,
FREN 355,3,1
FREN 356,3,
FREN 360,3,1
FREN 370,3,
FREN 373,3,
FREN 401,3,1
FREN 403,V,
FREN 404,3,
FREN 407,3,1
FREN 409,3,
FREN 411,3,
FREN 414,3,
FREN 415,3,
FREN 416,3,
FREN 422,3,
FREN 424,3,
FREN 430,3,
FREN 433,3,
FREN 436,3,
FREN 437,V,
FREN 449,3,
FREN 450,3,
FREN 451,3,
FREN 453,V,
FREN 455,3,
FREN 459,3,
FREN 462,3,
FREN 473,3,
FREN 474,3,
FREN 476,3,
FREN 482,3,
FREN 487,4,
FREN 494,3,
FREN 495,3,1
