PHIL,Hours,DI,DIII
PHIL 100,3,1,
PHIL 101,3,1,
PHIL 103,3,1,
PHIL 104,3,1,
PHIL 105,,1,
PHIL 106,3,,1
PHIL 109,3,1,
PHIL 116,3,1,
PHIL 201,3,1,
PHIL 202,3,1,
PHIL 204,,1,
PHIL 301,3,,
PHIL 302,3,,
PHIL 303,3,1,
PHIL 304,3,1,
PHIL 305,3,,1
PHIL 306,3,1,
PHIL 307,3,1,
PHIL 308,3,1,
PHIL 309,3,1,
PHIL 310,3,1,
PHIL 311,3,1,
PHIL 312,3,1,
PHIL 313,3,1,
PHIL 314,3,1,
PHIL 315,3,1,
PHIL 316,3,1,
PHIL 317,3,1,
PHIL 319,3,1,
PHIL 321,3,,
PHIL 326,3,1,
PHIL 327,3,1,
PHIL 331,3,1,
PHIL 334,3,1,
PHIL 335,3,,
PHIL 336,3,1,
PHIL 337,3,1,
PHIL 338,3,,
PHIL 339,3,,
PHIL 353,3,,
PHIL 354,3,,
PHIL 357,3,,1
PHIL 390,3,,
PHIL 401,3,,
PHIL 402,3,,
PHIL 411,3,,
PHIL 412,3,,
